,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
8861,2014020414.0,8471750.0,L,88.23529412,75.0,89.65517241,2017020525_266,Power Play,False,False,100.0
5894,2016020595.0,8474651.0,W,100.0,100.0,100.0,2015020987_218,Even,False,False,100.0
5895,2016020595.0,8477237.0,L,95.0,100.0,94.44444444,2015020987_268,Even,False,False,100.0
9058,2014021191.0,8473461.0,W,90.0,80.0,90.90909091,2016020443_296,Even,False,True,100.0
8738,2014020375.0,8473461.0,L,87.87878788,88.88888889,86.95652174,2016021187_287,Even,True,False,100.0
8750,2014020271.0,8471469.0,W,93.5483871,100.0,92.59259259,2015020746_241,Power Play,True,False,100.0
8749,2014020751.0,8475622.0,W,89.28571429,100.0,87.5,2015020746_216,Even,False,False,100.0
5898,2017021235.0,8477293.0,W,97.6744186,100.0,96.96969697,2015020391_76,Even,False,False,100.0
8746,2014020428.0,8475717.0,W,90.90909091,75.0,95.65217391,2015020746_140,Even,False,False,100.0
5901,2016020308.0,8471418.0,L,93.10344828,100.0,92.59259259,2015020391_160,Power Play,False,False,100.0
8742,2014020975.0,8473575.0,W,100.0,100.0,100.0,2016020079_191,Even,False,False,100.0
8740,2014020138.0,8476844.0,W,86.66666667,66.66666667,90.0,2016020079_70,Even,False,False,100.0
8737,2014020299.0,8470860.0,W,96.42857143,100.0,96.0,2016021187_252,Even,False,False,100.0
8754,2014020309.0,8468685.0,W,100.0,100.0,100.0,2016020009_54,Even,False,False,100.0
8732,2014020380.0,8470657.0,W,91.66666667,80.0,94.44444444,2016020021_184,Power Play,True,False,100.0
8731,2014020380.0,8475680.0,L,82.75862069,0.0,84.61538462,2016020021_156,Even,False,False,100.0
8730,2014020034.0,8474889.0,W,96.66666667,100.0,96.0,2016020021_97,Power Play,False,False,100.0
8725,2014020971.0,8470880.0,W,95.83333333,100.0,94.11764706,2017020401_204,Short Handed,False,False,100.0
